id,expected_relative_path,create_date,sys_file_soft_deleted,delete_ts_date,ext,file_size,file_name_md5,file_name_length,reference_count,active_reference_count,soft_deleted_reference_count,reference_columns_count,reference_columns,found_elsewhere_active_storage_count,found_in_archive_count,classification,recommended_action,blocks_stage_3
d2d1d368-38c5-b8da-b703-95d0a2ba45d3,2019/12/18/d2d1d368-38c5-b8da-b703-95d0a2ba45d3.pdf,2019-12-18,f,,pdf,65041,6f1e18e160bb792d505971b1e3b30249,14,1,1,0,1,public.hunttech_candidate_cv.original_file_cv_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
da48d860-4017-21e9-e5a4-50a25c0eb366,2019/12/18/da48d860-4017-21e9-e5a4-50a25c0eb366.pdf,2019-12-18,f,,pdf,75787,f6a8734149e1a2af7a980781cb25dcfa,49,0,0,0,0,,0,0,C_ORPHAN_SYS_FILE_METADATA,candidate_for_metadata_review_no_auto_delete,yes
dd543e2b-b9e8-e6b9-7ce8-4ee8e25f7b70,2019/12/18/dd543e2b-b9e8-e6b9-7ce8-4ee8e25f7b70.doc,2019-12-18,f,,doc,46080,b7adc65618d78eb37aa400e89dd45d94,26,1,1,0,1,public.hunttech_candidate_cv.original_file_cv_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
c5661493-acaa-f4f9-a80b-11baa0cd084d,2019/12/19/c5661493-acaa-f4f9-a80b-11baa0cd084d.pdf,2019-12-19,f,,pdf,37286,be4480b31621666e7e2930c2bb4992a3,45,0,0,0,0,,0,0,C_ORPHAN_SYS_FILE_METADATA,candidate_for_metadata_review_no_auto_delete,yes
cc953659-ed3b-139d-10e8-a60fcb5ca983,2019/12/20/cc953659-ed3b-139d-10e8-a60fcb5ca983.pdf,2019-12-20,f,,pdf,108505,97e905fd805d94f9f4b68ce8350dbe21,43,1,1,0,1,public.hunttech_some_files.file_descriptor_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
12631b5d-6516-faf8-42c5-659bdeb09e15,2019/12/22/12631b5d-6516-faf8-42c5-659bdeb09e15.pdf,2019-12-22,f,,pdf,119266,3008c427d5d8a49f62278776d83e51dc,24,1,1,0,1,public.hunttech_candidate_cv.original_file_cv_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
db849928-0198-c076-c602-643c8bd61486,2019/12/22/db849928-0198-c076-c602-643c8bd61486.pdf,2019-12-22,f,,pdf,736074,94dc0d4e29b93347ed5806aad3418a5c,21,1,1,0,1,public.hunttech_candidate_cv.original_file_cv_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
0a16f94a-cd6e-4e39-4eb7-6050f2cc12fc,2019/12/23/0a16f94a-cd6e-4e39-4eb7-6050f2cc12fc.pdf,2019-12-23,f,,pdf,33196,98ed562e36f272abf2e9186920d3386c,27,1,1,0,1,public.hunttech_candidate_cv.original_file_cv_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
24773128-684d-a7e2-bcab-7392885e3e97,2019/12/23/24773128-684d-a7e2-bcab-7392885e3e97.pdf,2019-12-23,f,,pdf,3953940,8265bbc0fe79c14a9ede5e89387d7479,108,1,1,0,1,public.hunttech_some_files.file_descriptor_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
3d2bad12-d0f4-3da2-70de-08b04c4dae6f,2019/12/23/3d2bad12-d0f4-3da2-70de-08b04c4dae6f.pdf,2019-12-23,f,,pdf,9700564,d581d9bf2b9f75c36b22165d87af2469,96,1,1,0,1,public.hunttech_some_files.file_descriptor_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
